"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#BlackPanther: #Wakanda Forever has held off David Harbour's Violent Night to secure its fourth weekend #boxoffice… https://t.co/WYKOXqhEFy",FALSE,1,NA,2022-12-05 05:55:34,TRUE,NA,"1599643625507680258",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","puregeekoficial",0,FALSE,FALSE,NA,NA
"and idk if vibranium close to talocan is like loose vibranium or if that rock we seen was a trap set by namor. 

bc… https://t.co/wwyK4mKNkW",FALSE,0,"supersensemaker",2022-12-05 05:23:19,TRUE,"1599634726637428737","1599635506232700929","1152323090912698368","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","supersensemaker",0,FALSE,FALSE,NA,NA
"which means now #wakanda has to claim title to ALL VIBRANIUM including the oceans where #namor land is",FALSE,0,"supersensemaker",2022-12-05 05:21:56,FALSE,"1599634726637428737","1599635158264852481","1152323090912698368","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","supersensemaker",0,FALSE,FALSE,NA,NA
"I’m watching #Wakanda and wtf……",FALSE,0,NA,2022-12-05 05:10:23,FALSE,NA,"1599632253898092544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_BValentine",0,FALSE,FALSE,NA,NA
"""We serve Wakanda. And let us not forget, we also serve each other. Together we will always raise."" -T'Challa/Black… https://t.co/VBPJRaHa8Y",FALSE,0,NA,2022-12-05 04:58:14,TRUE,NA,"1599629196644392961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrCertifiedC",0,FALSE,FALSE,NA,NA
"RT @SIEDAHGARRETT: Finally got around to experiencing the incredible BLACK PANTHER: WAKANDA FOREVER at a special screening attended by the…",FALSE,0,NA,2022-12-05 03:56:02,FALSE,NA,"1599613542914674688",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Aberjhani",20,TRUE,FALSE,NA,NA
"Dr. Umar explains his opinions on the FIRST Black Panther movie.. 500,000 lashes 😭😭😭 

#drumar #drumarjohnson… https://t.co/RcLvGWJyS8",FALSE,0,NA,2022-12-05 03:19:01,TRUE,NA,"1599604225196949508",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","devilzadpodcast",0,FALSE,FALSE,NA,NA
"RT @JLK_OFFICIAL: Luna #1 ""The Awakening"" Part 1 of 6
Thousands of years into our future, a Queen discovers she is the only one who can sav…",FALSE,0,NA,2022-12-05 02:54:13,FALSE,NA,"1599597987415498752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Obsolete_studio",1,TRUE,FALSE,NA,NA
"RT @SIEDAHGARRETT: Finally got around to experiencing the incredible BLACK PANTHER: WAKANDA FOREVER at a special screening attended by the…",FALSE,0,NA,2022-12-05 02:51:43,FALSE,NA,"1599597356705402881",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","integrity1999",20,TRUE,FALSE,NA,NA
"New Black Panther and Shuri figures now available. I only have two each in this colorshift black copper, so hit me… https://t.co/PNiKUR73j2",FALSE,0,NA,2022-12-05 02:38:31,TRUE,NA,"1599594035865612290",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sodacityart",0,FALSE,FALSE,NA,NA
"RT @MCU_Direct: The upcoming #BlackPanther Disney+ series has reportedly formed an LLC, indicating that the #Wakanda-focused show is gearin…",FALSE,0,NA,2022-12-05 02:33:25,FALSE,NA,"1599592752911482881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MyNameIsRhodey",162,TRUE,FALSE,NA,NA
"RT @splashdagoat713: @itstheyoungtyb this nigga Tye said the Latin kings was kiccin our ass in #Wakanda 🫠🫠🫠 yooooo",FALSE,0,NA,2022-12-05 02:23:54,FALSE,NA,"1599590357721051137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itstheyoungtyb",1,TRUE,FALSE,NA,NA
"@itstheyoungtyb this nigga Tye said the Latin kings was kiccin our ass in #Wakanda 🫠🫠🫠 yooooo",FALSE,1,"itstheyoungtyb",2022-12-05 02:15:43,FALSE,NA,"1599588298493919233","1518049232","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","splashdagoat713",1,FALSE,FALSE,NA,NA
"Luna #1 ""The Awakening"" Part 1 of 6
Thousands of years into our future, a Queen discovers she is the only one who c… https://t.co/WQp1aByzE3",FALSE,2,NA,2022-12-05 02:06:41,TRUE,NA,"1599586022961971200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JLK_OFFICIAL",1,FALSE,FALSE,NA,NA
"RT @SIEDAHGARRETT: Finally got around to experiencing the incredible BLACK PANTHER: WAKANDA FOREVER at a special screening attended by the…",FALSE,0,NA,2022-12-05 01:14:49,FALSE,NA,"1599572969508196352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DANNYFURLONGDJ",20,TRUE,FALSE,NA,NA
"#Domingo no shopping assistir #WakandaForever #WakandaParaSempre #Wakanda https://t.co/H3ZMscYreW",FALSE,0,NA,2022-12-05 01:00:50,FALSE,NA,"1599569452403597313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andersonzelio",0,FALSE,FALSE,NA,NA
"RT @Harlemstuntman: This BTS #Jabari sequence never made it to the big screen.

UMA WAKANDA!

T’Challa Tribute
@Winston_Duke 
#JermaineBran…",FALSE,0,NA,2022-12-05 01:00:36,FALSE,NA,"1599569392609951744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LenardoDeVinci",4,TRUE,FALSE,NA,NA
"Dear @AbbyAjayi + @PrimeVideo, 
Sooooo we need more than 6 episodes of #RichesOnPrime 🤑🔥. Between the #wahala and… https://t.co/ax6LmrvD15",FALSE,2,NA,2022-12-05 00:30:10,TRUE,NA,"1599561732535767040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","r_shaymiles",0,FALSE,FALSE,NA,NA
"RT @MarkPacich: The Legenday Chadwick Boseman would have turned 46 today.  #ChadwickBoseman #chadwickforever #Chadwick #BlackPanther #Black…",FALSE,0,NA,2022-12-05 00:20:18,FALSE,NA,"1599559249679376384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CoachPCong",12,TRUE,FALSE,NA,NA
